Time(ms), Temperature(C), Temperature (K), Temperature(analog value) 
1061,22.998,296.148,1911
1169,22.889,296.039,1906
1276,22.867,296.017,1905
1383,22.932,296.082,1908
1490,22.889,296.039,1906
1597,22.954,296.104,1909
1704,22.910,296.060,1907
1811,22.867,296.017,1905
1918,22.976,296.126,1910
2025,22.954,296.104,1909
2132,22.867,296.017,1905
2239,22.845,295.995,1904
2346,22.845,295.995,1904
2453,22.889,296.039,1906
2560,22.976,296.126,1910
2667,22.910,296.060,1907
2774,22.867,296.017,1905
2884,22.867,296.017,1905
2993,22.845,295.995,1904
3100,22.910,296.060,1907
3207,22.845,295.995,1904
3314,22.845,295.995,1904
3421,22.867,296.017,1905
3528,22.910,296.060,1907
3635,22.889,296.039,1906
3742,22.845,295.995,1904
3849,22.867,296.017,1905
3956,22.867,296.017,1905
4063,22.845,295.995,1904
4170,22.867,296.017,1905
4277,22.823,295.973,1903
4384,22.889,296.039,1906
4491,22.845,295.995,1904
4598,22.867,296.017,1905
4705,22.867,296.017,1905
4812,22.889,296.039,1906
4922,22.845,295.995,1904
5029,22.867,296.017,1905
5136,22.867,296.017,1905
5245,22.845,295.995,1904
5352,22.845,295.995,1904
5459,22.845,295.995,1904
5566,22.845,295.995,1904
5673,22.823,295.973,1903
5780,22.845,295.995,1904
5887,22.845,295.995,1904
5994,22.845,295.995,1904
6101,22.845,295.995,1904
6208,22.823,295.973,1903
6315,22.845,295.995,1904
6422,22.823,295.973,1903
6529,22.845,295.995,1904
6636,22.823,295.973,1903
6743,22.823,295.973,1903
6850,22.802,295.952,1902
6960,22.802,295.952,1902
7067,22.823,295.973,1903
7174,22.845,295.995,1904
7281,22.845,295.995,1904
7390,22.823,295.973,1903
7497,22.845,295.995,1904
7604,22.845,295.995,1904
7711,22.845,295.995,1904
7818,22.845,295.995,1904
7925,22.845,295.995,1904
8032,22.823,295.973,1903
8139,22.845,295.995,1904
8246,22.823,295.973,1903
8353,22.736,295.886,1899
8460,22.780,295.930,1901
8567,22.823,295.973,1903
8674,22.823,295.973,1903
8781,22.845,295.995,1904
8888,22.823,295.973,1903
8998,22.780,295.930,1901
9105,22.802,295.952,1902
9212,22.780,295.930,1901
9319,22.823,295.973,1903
9426,22.823,295.973,1903
9533,22.736,295.886,1899
9642,22.780,295.930,1901
9749,22.823,295.973,1903
9856,22.802,295.952,1902
9963,22.802,295.952,1902
10070,22.823,295.973,1903
10177,22.780,295.930,1901
10284,22.802,295.952,1902
10391,22.780,295.930,1901
10498,22.715,295.865,1898
10605,22.823,295.973,1903
10712,22.736,295.886,1899
10819,22.845,295.995,1904
10926,22.758,295.908,1900
11036,22.823,295.973,1903
11143,22.780,295.930,1901
11250,22.758,295.908,1900
11357,22.715,295.865,1898
11464,22.802,295.952,1902
11571,22.802,295.952,1902
11678,22.802,295.952,1902
11783,22.715,295.865,1898
11890,22.715,295.865,1898
11997,22.780,295.930,1901
12104,22.715,295.865,1898
12211,22.693,295.843,1897
12318,22.802,295.952,1902
12425,22.693,295.843,1897
12532,22.736,295.886,1899
12639,22.649,295.799,1895
12746,22.715,295.865,1898
12853,22.758,295.908,1900
12960,22.715,295.865,1898
13067,22.693,295.843,1897
13177,22.736,295.886,1899
13284,22.649,295.799,1895
13391,22.693,295.843,1897
13498,22.736,295.886,1899
13605,22.780,295.930,1901
13712,22.715,295.865,1898
13821,22.649,295.799,1895
13928,22.649,295.799,1895
14035,22.649,295.799,1895
14142,22.606,295.756,1893
14249,22.693,295.843,1897
14356,22.584,295.734,1892
14463,22.627,295.777,1894
14570,22.606,295.756,1893
14677,22.627,295.777,1894
14784,22.649,295.799,1895
14891,22.606,295.756,1893
14998,22.606,295.756,1893
15105,22.562,295.712,1891
15215,22.562,295.712,1891
15322,22.562,295.712,1891
15429,22.627,295.777,1894
15536,22.649,295.799,1895
15643,22.606,295.756,1893
15750,22.562,295.712,1891
15857,22.584,295.734,1892
15966,22.606,295.756,1893
16073,22.540,295.690,1890
16180,22.584,295.734,1892
16287,22.627,295.777,1894
16394,22.606,295.756,1893
16501,22.606,295.756,1893
16608,22.606,295.756,1893
16715,22.475,295.625,1887
16822,22.584,295.734,1892
16929,22.627,295.777,1894
17036,22.606,295.756,1893
17143,22.540,295.690,1890
17253,22.606,295.756,1893
17360,22.562,295.712,1891
17467,22.540,295.690,1890
17574,22.540,295.690,1890
17681,22.562,295.712,1891
17788,22.519,295.669,1889
17895,22.562,295.712,1891
18002,22.519,295.669,1889
18111,22.562,295.712,1891
18218,22.519,295.669,1889
18325,22.519,295.669,1889
18432,22.519,295.669,1889
18539,22.584,295.734,1892
18646,22.562,295.712,1891
18753,22.562,295.712,1891
18860,22.540,295.690,1890
18967,22.497,295.647,1888
19074,22.475,295.625,1887
19181,22.562,295.712,1891
19291,22.540,295.690,1890
19398,22.519,295.669,1889
19505,22.519,295.669,1889
19612,22.606,295.756,1893
19719,22.475,295.625,1887
19826,22.519,295.669,1889
19933,22.432,295.582,1885
20040,22.519,295.669,1889
20149,22.475,295.625,1887
20256,22.475,295.625,1887
20363,22.453,295.603,1886
20470,22.497,295.647,1888
20577,22.475,295.625,1887
20684,22.301,295.451,1879
20791,22.475,295.625,1887
20898,22.453,295.603,1886
21005,22.475,295.625,1887
21112,22.519,295.669,1889
21219,22.475,295.625,1887
21329,22.410,295.560,1884
21436,22.388,295.538,1883
21543,22.497,295.647,1888
21650,22.519,295.669,1889
21757,22.410,295.560,1884
21864,22.519,295.669,1889
21971,22.475,295.625,1887
22078,22.497,295.647,1888
22185,22.475,295.625,1887
22294,22.432,295.582,1885
22401,22.475,295.625,1887
22508,22.519,295.669,1889
22615,22.475,295.625,1887
22722,22.453,295.603,1886
22829,22.497,295.647,1888
22936,22.453,295.603,1886
23043,22.497,295.647,1888
23150,22.432,295.582,1885
23257,22.453,295.603,1886
23367,22.453,295.603,1886
23474,22.475,295.625,1887
23581,22.453,295.603,1886
23688,22.410,295.560,1884
23795,22.519,295.669,1889
23902,22.410,295.560,1884
24009,22.475,295.625,1887
24116,22.410,295.560,1884
24223,22.453,295.603,1886
24330,22.388,295.538,1883
24439,22.453,295.603,1886
24546,22.432,295.582,1885
24653,22.432,295.582,1885
24760,22.388,295.538,1883
24867,22.432,295.582,1885
24974,22.388,295.538,1883
25081,22.388,295.538,1883
25188,22.410,295.560,1884
25295,22.345,295.495,1881
25405,22.453,295.603,1886
25512,22.475,295.625,1887
25619,22.388,295.538,1883
25726,22.475,295.625,1887
25833,22.410,295.560,1884
25940,22.388,295.538,1883
26047,22.388,295.538,1883
26154,22.367,295.517,1882
26261,22.345,295.495,1881
26368,22.345,295.495,1881
26477,22.345,295.495,1881
26584,22.367,295.517,1882
26691,22.388,295.538,1883
26798,22.345,295.495,1881
26905,22.345,295.495,1881
27012,22.301,295.451,1879
27119,22.258,295.408,1877
27226,22.367,295.517,1882
27333,22.301,295.451,1879
27443,22.301,295.451,1879
27550,22.323,295.473,1880
27657,22.388,295.538,1883
27764,22.345,295.495,1881
27871,22.301,295.451,1879
27978,22.301,295.451,1879
28085,22.367,295.517,1882
28192,22.280,295.430,1878
28299,22.280,295.430,1878
28406,22.301,295.451,1879
28513,22.280,295.430,1878
28622,22.258,295.408,1877
28729,22.345,295.495,1881
28836,22.258,295.408,1877
28943,22.301,295.451,1879
29050,22.280,295.430,1878
29157,22.345,295.495,1881
29264,22.301,295.451,1879
29371,22.301,295.451,1879
29481,22.301,295.451,1879
29588,22.345,295.495,1881
29695,22.280,295.430,1878
29802,22.280,295.430,1878
29909,22.301,295.451,1879
30016,22.388,295.538,1883
30123,22.301,295.451,1879
30230,22.193,295.343,1874
30337,22.214,295.364,1875
30444,22.258,295.408,1877
30551,22.236,295.386,1876
30658,22.280,295.430,1878
30767,22.258,295.408,1877
30874,22.301,295.451,1879
30981,22.214,295.364,1875
31088,22.258,295.408,1877
31195,22.280,295.430,1878
31302,22.214,295.364,1875
31409,22.280,295.430,1878
31519,22.258,295.408,1877
31626,22.258,295.408,1877
31733,22.214,295.364,1875
31840,22.258,295.408,1877
31947,22.301,295.451,1879
32054,22.214,295.364,1875
32161,22.258,295.408,1877
32268,22.258,295.408,1877
32375,22.258,295.408,1877
32482,22.301,295.451,1879
32589,22.171,295.321,1873
32696,22.258,295.408,1877
32805,22.280,295.430,1878
32912,22.301,295.451,1879
33019,22.258,295.408,1877
33126,22.193,295.343,1874
33233,22.171,295.321,1873
33340,22.193,295.343,1874
33447,22.214,295.364,1875
33557,22.149,295.299,1872
33664,22.149,295.299,1872
33771,22.214,295.364,1875
33878,22.214,295.364,1875
33985,22.171,295.321,1873
34092,22.171,295.321,1873
34199,22.171,295.321,1873
34306,22.193,295.343,1874
34413,22.193,295.343,1874
34520,22.193,295.343,1874
34627,22.171,295.321,1873
34734,22.214,295.364,1875
34841,22.149,295.299,1872
34950,22.127,295.277,1871
35057,22.149,295.299,1872
35164,22.149,295.299,1872
35271,22.171,295.321,1873
35378,22.258,295.408,1877
35485,22.171,295.321,1873
